,rra_id,rra_playerId,rra_dateAt,rra_partnerId,rra_brandId,rra_campaignId,rra_playerCountry,rra_registrationsCount,rra_depositsCount,firstDepositsSumEur,depositsSumEur,c_registrationDateAt,c_gender,c_age
187935,153303929617667211,5386075,2020-11-20 03:00:00,87758,102,97959,NL,0,1,0.0,25.0,2020-09-05 21:15:23,m,27.0
187936,168603295458030121,5386075,2020-11-13 03:00:00,87758,102,97959,NL,0,1,0.0,25.0,2020-09-05 21:15:23,m,27.0
187937,169951581682575410,5386075,2020-10-26 03:00:00,87758,102,97959,NL,0,1,0.0,50.0,2020-09-05 21:15:23,m,27.0
187938,179331487333288519,5386075,2020-10-25 03:00:00,87758,102,97959,NL,0,4,0.0,170.0,2020-09-05 21:15:23,m,27.0
187939,200103933418990388,5386075,2020-11-21 03:00:00,87758,102,97959,NL,0,1,0.0,50.0,2020-09-05 21:15:23,m,27.0
187940,208602827362603923,5386075,2020-11-08 03:00:00,87758,102,97959,NL,0,2,0.0,75.0,2020-09-05 21:15:23,m,27.0
187941,217350566236226262,5386075,2020-10-14 03:00:00,87758,102,97959,NL,0,0,0.0,0.0,2020-09-05 21:15:23,m,27.0
187942,240742030904628587,5386075,2020-10-31 03:00:00,87758,102,97959,NL,0,3,0.0,300.0,2020-09-05 21:15:23,m,27.0
187943,249201849706374713,5386075,2020-10-29 03:00:00,87758,102,97959,NL,0,1,0.0,100.0,2020-09-05 21:15:23,m,27.0
187944,271580710712561993,5386075,2020-10-16 03:00:00,87758,102,97959,NL,0,2,0.0,40.0,2020-09-05 21:15:23,m,27.0
187945,299367785510935178,5386075,2020-09-05 03:00:00,87758,102,97959,NL,1,1,20.0,20.0,2020-09-05 21:15:23,m,27.0
187946,301282846252869295,5386075,2020-11-09 03:00:00,87758,102,97959,NL,0,0,0.0,0.0,2020-09-05 21:15:23,m,27.0
187947,372601475988496198,5386075,2020-10-24 03:00:00,87758,102,97959,NL,0,1,0.0,20.0,2020-09-05 21:15:23,m,27.0
187948,463805922759987002,5386075,2020-12-12 03:00:00,87758,102,97959,NL,0,1,0.0,30.0,2020-09-05 21:15:23,m,27.0
187949,510002680169781720,5386075,2020-11-07 03:00:00,87758,102,97959,NL,0,1,0.0,50.0,2020-09-05 21:15:23,m,27.0
187950,177998313341006655,5388588,2020-09-20 03:00:00,87758,102,97959,CA,0,0,0.0,0.0,2020-09-06 02:31:06,m,38.0
187951,299367785512044189,5388588,2020-09-05 03:00:00,87758,102,97959,CA,1,1,40.73,40.73,2020-09-06 02:31:06,m,38.0
187952,299377785494746194,5388588,2020-09-06 03:00:00,87758,102,97959,CA,0,0,0.0,0.0,2020-09-06 02:31:06,m,38.0
187953,177998313341006663,5388074,2020-09-20 03:00:00,87758,102,97959,DK,0,0,0.0,0.0,2020-09-06 01:09:12,m,25.0
187954,299367785512044202,5388074,2020-09-05 03:00:00,87758,102,97959,DK,1,1,16.89,16.89,2020-09-06 01:09:12,m,25.0
187955,299367785512044206,5387028,2020-09-05 03:00:00,87758,102,97959,FI,1,1,70.0,70.0,2020-09-05 23:46:29,m,19.0
187956,299377785494746218,5387028,2020-09-06 03:00:00,87758,102,97959,FI,0,0,0.0,0.0,2020-09-05 23:46:29,m,19.0
187957,299387785487797985,5387028,2020-09-07 03:00:00,87758,102,97959,FI,0,0,0.0,0.0,2020-09-05 23:46:29,m,19.0
187958,299367785512044211,5386992,2020-09-05 03:00:00,87758,102,97959,NO,1,1,18.96,18.96,2020-09-05 23:11:51,m,22.0
187959,193168403994998843,5383425,2020-09-21 03:00:00,87911,102,100603,GR,0,0,0.0,0.0,2020-09-05 15:49:12,m,33.0
187960,299367785512044223,5383425,2020-09-05 03:00:00,87911,102,100603,GR,1,2,20.0,40.0,2020-09-05 15:49:12,m,33.0
187961,299377785494746253,5383425,2020-09-06 03:00:00,87911,102,100603,GR,0,2,0.0,40.0,2020-09-05 15:49:12,m,33.0
187962,299367785512044225,5386553,2020-09-05 03:00:00,87956,102,98450,NL,1,1,100.0,100.0,2020-09-05 22:00:00,m,43.0
187963,299437785436573318,5386553,2020-09-12 03:00:00,87956,102,98450,NL,0,2,0.0,120.0,2020-09-05 22:00:00,m,43.0
187964,299367785512044258,5378250,2020-09-05 03:00:00,88076,99,98631,AU,1,1,12.3,12.3,2020-09-05 03:56:27,m,23.0
187975,299367785518615696,5381929,2020-09-05 03:00:00,88081,99,98702,AU,1,2,9.23,18.45,2020-09-05 12:32:59,f,53.0
187982,177998313359617838,5384152,2020-09-20 03:00:00,88092,99,98719,AU,0,0,0.0,0.0,2020-09-05 17:42:53,m,29.0
187983,299367785531165155,5384152,2020-09-05 03:00:00,88092,99,98719,AU,1,1,15.38,15.38,2020-09-05 17:42:53,m,29.0
187984,298979029890947349,5379562,2020-09-27 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 06:01:12,m,46.0
187985,299367785532249743,5379562,2020-09-05 03:00:00,88092,102,100050,NL,1,1,20.0,20.0,2020-09-05 06:01:12,m,46.0
187986,299367785532249748,5381241,2020-09-05 03:00:00,88092,102,100050,NL,1,1,20.0,20.0,2020-09-05 10:47:43,m,28.0
187987,240070068051184997,5382061,2020-10-09 03:00:00,88092,102,100050,NL,0,1,0.0,20.0,2020-09-05 12:15:36,m,52.0
187988,256828788346975822,5382061,2020-09-25 03:00:00,88092,102,100050,NL,0,2,0.0,400.0,2020-09-05 12:15:36,m,52.0
187989,299367785532249760,5382061,2020-09-05 03:00:00,88092,102,100050,NL,1,3,50.0,200.0,2020-09-05 12:15:36,m,52.0
187990,299377785522053741,5382061,2020-09-06 03:00:00,88092,102,100050,NL,0,3,0.0,250.0,2020-09-05 12:15:36,m,52.0
187991,299387785509460576,5382061,2020-09-07 03:00:00,88092,102,100050,NL,0,2,0.0,40.0,2020-09-05 12:15:36,m,52.0
187992,299407785504892845,5382061,2020-09-09 03:00:00,88092,102,100050,NL,0,2,0.0,90.0,2020-09-05 12:15:36,m,52.0
